DeviceName,PrimaryUser,UserDisplayName,Department,JobTitle,OfficeLocation,City,Country,CountryCode,AccountStatus,AIAgentName,AIAgentCategory,AIAgentSanctioned,DetectionSignals,IsPrimaryDeviceRow,AgentCountOnDevice,HasUnsanctionedAI,ScanStatus,DetectionState,OperatingSystem,OSVersion,LastSyncDate,LastSyncDaysAgo,IsActiveLast14Days,LastDetectionDate,SnapshotDate
WIN-US-2014,sara.korhonen@contoso.com,Sara Korhonen,Operations,Ops Specialist,Austin Office,Austin,United States,US,Enabled,Microsoft Copilot,Chat client,Sanctioned,reg:Uninstall,Yes,1,No,Scanned,detected,Windows,10.0.22000.2836,2026-07-09,6,Yes,2026-07-08,2026-07-15
WIN-IN-2015,liam.jansen@contoso.com,Liam Jansen,Operations,Ops Specialist,Pune DC,Pune,India,IN,Enabled,Cursor,Coding assistant,Unsanctioned,vscode-ext,Yes,1,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-07-09,6,Yes,2026-07-15,2026-07-15
WIN-IN-2016,ingrid.virtanen@contoso.com,Ingrid Virtanen,Sales,Account Executive,Bengaluru Office,Bengaluru,India,IN,Enabled,Perplexity,Browser AI,Unsanctioned,browser-ext,Yes,3,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-06-05,40,No,2026-07-11,2026-07-15
WIN-IN-2016,ingrid.virtanen@contoso.com,Ingrid Virtanen,Sales,Account Executive,Bengaluru Office,Bengaluru,India,IN,Enabled,Jan,Chat client,Unsanctioned,reg:Uninstall,No,3,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-06-05,40,No,2026-07-11,2026-07-15
WIN-IN-2016,ingrid.virtanen@contoso.com,Ingrid Virtanen,Sales,Account Executive,Bengaluru Office,Bengaluru,India,IN,Enabled,Claude Desktop,Chat client,Unsanctioned,process,No,3,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-06-05,40,No,2026-07-11,2026-07-15
WIN-SE-2017,nina.costa@contoso.com,Nina Costa,Operations,Ops Specialist,Stockholm Office,Stockholm,Sweden,SE,Enabled,Ollama,LLM runtime,Unsanctioned,dir:%LOCALAPPDATA%\Programs,Yes,1,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-06-24,21,No,2026-07-11,2026-07-15
WIN-DE-2018,aino.jansen@contoso.com,Aino Jansen,R&D,Research Engineer,Munich Office,Munich,Germany,DE,Enabled,GitHub Copilot,Coding assistant,Sanctioned,process,Yes,3,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-06-12,33,No,2026-07-11,2026-07-15
WIN-DE-2018,aino.jansen@contoso.com,Aino Jansen,R&D,Research Engineer,Munich Office,Munich,Germany,DE,Enabled,GPT4All,LLM runtime,Unsanctioned,process:ollama.exe,No,3,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-06-12,33,No,2026-07-11,2026-07-15
WIN-DE-2018,aino.jansen@contoso.com,Aino Jansen,R&D,Research Engineer,Munich Office,Munich,Germany,DE,Enabled,Cursor,Coding assistant,Unsanctioned,process,No,3,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-06-12,33,No,2026-07-11,2026-07-15
WIN-IN-2019,priya.lehto@contoso.com,Priya Lehto,HR,HR Partner,Bengaluru Office,Bengaluru,India,IN,Enabled,Jan,Chat client,Unsanctioned,appx,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-07-01,14,Yes,2026-07-12,2026-07-15
WIN-ES-2020,aino.virtanen@contoso.com,Aino Virtanen,Marketing,Marketing Manager,Madrid Office,Madrid,Spain,ES,Enabled,Jan,Chat client,Unsanctioned,reg:Uninstall,Yes,3,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-06-17,28,No,2026-07-10,2026-07-15
WIN-ES-2020,aino.virtanen@contoso.com,Aino Virtanen,Marketing,Marketing Manager,Madrid Office,Madrid,Spain,ES,Enabled,GitHub Copilot,Coding assistant,Sanctioned,vscode-ext,No,3,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-06-17,28,No,2026-07-10,2026-07-15
WIN-ES-2020,aino.virtanen@contoso.com,Aino Virtanen,Marketing,Marketing Manager,Madrid Office,Madrid,Spain,ES,Enabled,LM Studio,LLM runtime,Unsanctioned,port:11434,No,3,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-06-17,28,No,2026-07-10,2026-07-15
WIN-ES-2021,arjun.lehto@contoso.com,Arjun Lehto,HR,HR Partner,Madrid Office,Madrid,Spain,ES,Enabled,Msty,Chat client,Unsanctioned,reg:Uninstall,Yes,1,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-06-15,30,No,2026-07-05,2026-07-15
WIN-ES-2022,sofia.kaur@contoso.com,Sofia Kaur,HR,HR Partner,Madrid Office,Madrid,Spain,ES,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22000.2836,2026-06-05,40,No,2026-07-10,2026-07-15
WIN-FI-2023,yuki.wang@contoso.com,Yuki Wang,IT,Systems Engineer,Helsinki Office,Helsinki,Finland,FI,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22621.3296,2026-07-07,8,Yes,2026-07-15,2026-07-15
WIN-DE-2024,nina.patel@contoso.com,Nina Patel,Operations,Ops Specialist,Munich Office,Munich,Germany,DE,Enabled,Msty,Chat client,Unsanctioned,appx,Yes,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-14,1,Yes,2026-07-15,2026-07-15
WIN-DE-2024,nina.patel@contoso.com,Nina Patel,Operations,Ops Specialist,Munich Office,Munich,Germany,DE,Enabled,GitHub Copilot,Coding assistant,Sanctioned,vscode-ext,No,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-14,1,Yes,2026-07-15,2026-07-15
WIN-FI-2025,omar.jansen@contoso.com,Omar Jansen,HR,HR Partner,Helsinki HQ,Helsinki,Finland,FI,Enabled,Jan,Chat client,Unsanctioned,appx,Yes,2,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-06-13,32,No,2026-07-12,2026-07-15
WIN-FI-2025,omar.jansen@contoso.com,Omar Jansen,HR,HR Partner,Helsinki HQ,Helsinki,Finland,FI,Enabled,GPT4All,LLM runtime,Unsanctioned,port:11434,No,2,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-06-13,32,No,2026-07-12,2026-07-15
WIN-ES-2026,noah.korhonen@contoso.com,Noah Korhonen,Legal,Counsel,Madrid Office,Madrid,Spain,ES,Enabled,Cursor,Coding assistant,Unsanctioned,vscode-ext,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-13,32,No,2026-07-13,2026-07-15
WIN-IN-2027,nina.sharma@contoso.com,Nina Sharma,Engineering,Software Engineer,Pune DC,Pune,India,IN,Enabled,Jan,Chat client,Unsanctioned,appx,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-06,39,No,2026-07-14,2026-07-15
WIN-FI-2028,sara.costa@contoso.com,Sara Costa,Sales,Account Executive,Helsinki HQ,Helsinki,Finland,FI,Enabled,Cursor,Coding assistant,Unsanctioned,vscode-ext,Yes,1,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-07-13,2,Yes,2026-07-14,2026-07-15
WIN-IN-2029,liam.wang@contoso.com,Liam Wang,Legal,Counsel,Bengaluru Office,Bengaluru,India,IN,Enabled,Cursor,Coding assistant,Unsanctioned,process,Yes,2,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-13,32,No,2026-07-07,2026-07-15
WIN-IN-2029,liam.wang@contoso.com,Liam Wang,Legal,Counsel,Bengaluru Office,Bengaluru,India,IN,Enabled,LM Studio,LLM runtime,Unsanctioned,dir:%LOCALAPPDATA%\Programs,No,2,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-13,32,No,2026-07-07,2026-07-15
WIN-US-2030,arjun.wang@contoso.com,Arjun Wang,Finance,Financial Analyst,Austin Office,Austin,United States,US,Enabled,ChatGPT Desktop,Chat client,Unsanctioned,reg:Uninstall,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-25,20,No,2026-07-14,2026-07-15
WIN-IN-2031,arjun.rossi@contoso.com,Arjun Rossi,Sales,Account Executive,Pune DC,Pune,India,IN,Enabled,Claude Desktop,Chat client,Unsanctioned,appx,Yes,2,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-07-06,9,Yes,2026-07-11,2026-07-15
WIN-IN-2031,arjun.rossi@contoso.com,Arjun Rossi,Sales,Account Executive,Pune DC,Pune,India,IN,Enabled,LM Studio,LLM runtime,Unsanctioned,process:ollama.exe,No,2,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-07-06,9,Yes,2026-07-11,2026-07-15
WIN-IN-2032,yuki.costa@contoso.com,Yuki Costa,Finance,Financial Analyst,Bengaluru Office,Bengaluru,India,IN,Enabled,LM Studio,LLM runtime,Unsanctioned,port:11434,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-13,32,No,2026-07-09,2026-07-15
WIN-FI-2033,mateo.andersson@contoso.com,Mateo Andersson,Legal,Counsel,Helsinki HQ,Helsinki,Finland,FI,Enabled,Cursor,Coding assistant,Unsanctioned,process,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-17,28,No,2026-07-15,2026-07-15
WIN-IN-2034,sara.andersson@contoso.com,Sara Andersson,Sales,Account Executive,Bengaluru Office,Bengaluru,India,IN,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22631.3447,2026-07-10,5,Yes,2026-07-11,2026-07-15
WIN-US-2035,emma.smith@contoso.com,Emma Smith,Finance,Financial Analyst,Austin Office,Austin,United States,US,Enabled,Cursor,Coding assistant,Unsanctioned,process,Yes,1,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-06-20,25,No,2026-07-13,2026-07-15
WIN-FI-2036,mateo.andersson@contoso.com,Mateo Andersson,Marketing,Marketing Manager,Helsinki HQ,Helsinki,Finland,FI,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22621.3296,2026-06-18,27,No,2026-07-14,2026-07-15
WIN-FI-2037,aino.andersson@contoso.com,Aino Andersson,Marketing,Marketing Manager,Helsinki Office,Helsinki,Finland,FI,Enabled,Claude Desktop,Chat client,Unsanctioned,process,Yes,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-11,4,Yes,2026-07-11,2026-07-15
WIN-FI-2037,aino.andersson@contoso.com,Aino Andersson,Marketing,Marketing Manager,Helsinki Office,Helsinki,Finland,FI,Enabled,Microsoft Copilot,Chat client,Sanctioned,appx,No,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-11,4,Yes,2026-07-11,2026-07-15
WIN-FI-2038,omar.smith@contoso.com,Omar Smith,Finance,Financial Analyst,Helsinki HQ,Helsinki,Finland,FI,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22621.3296,2026-07-08,7,Yes,2026-07-13,2026-07-15
WIN-SE-2039,emma.jansen@contoso.com,Emma Jansen,Marketing,Marketing Manager,Stockholm Office,Stockholm,Sweden,SE,Enabled,Ollama,LLM runtime,Unsanctioned,port:11434,Yes,1,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-06-27,18,No,2026-07-08,2026-07-15
WIN-FI-2040,ingrid.virtanen@contoso.com,Ingrid Virtanen,Marketing,Marketing Manager,Helsinki HQ,Helsinki,Finland,FI,Disabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22621.3296,2026-06-13,32,No,2026-07-08,2026-07-15
WIN-ES-2041,nina.garcia@contoso.com,Nina Garcia,IT,Systems Engineer,Madrid Office,Madrid,Spain,ES,Enabled,LM Studio,LLM runtime,Unsanctioned,port:11434,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-13,32,No,2026-07-11,2026-07-15
WIN-DE-2042,arjun.patel@contoso.com,Arjun Patel,IT,Systems Engineer,Munich Office,Munich,Germany,DE,Enabled,GPT4All,LLM runtime,Unsanctioned,port:11434,Yes,1,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-15,0,Yes,2026-07-14,2026-07-15
WIN-US-2043,emma.korhonen@contoso.com,Emma Korhonen,Sales,Account Executive,Austin Office,Austin,United States,US,Enabled,Microsoft Copilot,Chat client,Sanctioned,process,Yes,1,No,Scanned,detected,Windows,10.0.19045.4046,2026-06-07,38,No,2026-07-12,2026-07-15
WIN-ES-2044,emma.sharma@contoso.com,Emma Sharma,Marketing,Marketing Manager,Madrid Office,Madrid,Spain,ES,Disabled,Microsoft Copilot,Chat client,Sanctioned,process,Yes,1,No,Scanned,detected,Windows,10.0.19045.4046,2026-06-24,21,No,2026-07-07,2026-07-15
WIN-FI-2045,arjun.berg@contoso.com,Arjun Berg,Finance,Financial Analyst,Helsinki HQ,Helsinki,Finland,FI,Enabled,LM Studio,LLM runtime,Unsanctioned,process:ollama.exe,Yes,1,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-06-15,30,No,2026-07-11,2026-07-15
WIN-SE-2046,sara.virtanen@contoso.com,Sara Virtanen,Sales,Account Executive,Stockholm Office,Stockholm,Sweden,SE,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22621.3296,2026-06-20,25,No,2026-07-06,2026-07-15
WIN-IN-2047,aino.rossi@contoso.com,Aino Rossi,Marketing,Marketing Manager,Bengaluru Office,Bengaluru,India,IN,Enabled,Jan,Chat client,Unsanctioned,appx,Yes,1,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-06-03,42,No,2026-07-06,2026-07-15
WIN-IN-2048,diego.patel@contoso.com,Diego Patel,Marketing,Marketing Manager,Pune DC,Pune,India,IN,Disabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22000.2836,2026-06-01,44,No,2026-07-07,2026-07-15
WIN-FI-2049,sara.virtanen@contoso.com,Sara Virtanen,HR,HR Partner,Helsinki Office,Helsinki,Finland,FI,Disabled,ChatGPT Desktop,Chat client,Unsanctioned,reg:Uninstall,Yes,3,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-06-05,40,No,2026-07-10,2026-07-15
WIN-FI-2049,sara.virtanen@contoso.com,Sara Virtanen,HR,HR Partner,Helsinki Office,Helsinki,Finland,FI,Disabled,Claude Desktop,Chat client,Unsanctioned,appx,No,3,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-06-05,40,No,2026-07-10,2026-07-15
WIN-FI-2049,sara.virtanen@contoso.com,Sara Virtanen,HR,HR Partner,Helsinki Office,Helsinki,Finland,FI,Disabled,Cursor,Coding assistant,Unsanctioned,vscode-ext,No,3,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-06-05,40,No,2026-07-10,2026-07-15
WIN-SE-2050,ravi.muller@contoso.com,Ravi Muller,Operations,Ops Specialist,Stockholm Office,Stockholm,Sweden,SE,Disabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22631.3447,2026-06-13,32,No,2026-07-07,2026-07-15
WIN-SE-2051,sara.andersson@contoso.com,Sara Andersson,Operations,Ops Specialist,Stockholm Office,Stockholm,Sweden,SE,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.19045.4046,2026-06-30,15,No,2026-07-12,2026-07-15
WIN-FI-2052,nina.costa@contoso.com,Nina Costa,IT,Systems Engineer,Helsinki Office,Helsinki,Finland,FI,Enabled,LM Studio,LLM runtime,Unsanctioned,process:ollama.exe,Yes,1,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-07-13,2,Yes,2026-07-06,2026-07-15
WIN-SE-2053,marco.patel@contoso.com,Marco Patel,Legal,Counsel,Stockholm Office,Stockholm,Sweden,SE,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.19045.4046,2026-06-06,39,No,2026-07-06,2026-07-15
WIN-SE-2054,diego.korhonen@contoso.com,Diego Korhonen,Operations,Ops Specialist,Stockholm Office,Stockholm,Sweden,SE,Enabled,GPT4All,LLM runtime,Unsanctioned,dir:%LOCALAPPDATA%\Programs,Yes,1,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-06-01,44,No,2026-07-12,2026-07-15
WIN-ES-2055,sara.rossi@contoso.com,Sara Rossi,Operations,Ops Specialist,Madrid Office,Madrid,Spain,ES,Enabled,GitHub Copilot,Coding assistant,Sanctioned,process,Yes,1,No,Scanned,detected,Windows,10.0.22631.3447,2026-06-10,35,No,2026-07-12,2026-07-15
WIN-FI-2056,aino.rossi@contoso.com,Aino Rossi,Operations,Ops Specialist,Helsinki Office,Helsinki,Finland,FI,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22000.2836,2026-06-28,17,No,2026-07-09,2026-07-15
WIN-IN-2057,arjun.andersson@contoso.com,Arjun Andersson,Sales,Account Executive,Pune DC,Pune,India,IN,Enabled,Msty,Chat client,Unsanctioned,appx,Yes,1,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-06-22,23,No,2026-07-13,2026-07-15
WIN-IN-2058,lucas.garcia@contoso.com,Lucas Garcia,Legal,Counsel,Bengaluru Office,Bengaluru,India,IN,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22000.2836,2026-06-20,25,No,2026-07-15,2026-07-15
WIN-SE-2059,diego.wang@contoso.com,Diego Wang,IT,Systems Engineer,Stockholm Office,Stockholm,Sweden,SE,Enabled,Jan,Chat client,Unsanctioned,reg:Uninstall,Yes,1,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-23,22,No,2026-07-09,2026-07-15
WIN-FI-2060,mateo.lehto@contoso.com,Mateo Lehto,IT,Systems Engineer,Helsinki Office,Helsinki,Finland,FI,Enabled,GPT4All,LLM runtime,Unsanctioned,port:11434,Yes,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-05-31,45,No,2026-07-15,2026-07-15
WIN-FI-2060,mateo.lehto@contoso.com,Mateo Lehto,IT,Systems Engineer,Helsinki Office,Helsinki,Finland,FI,Enabled,Msty,Chat client,Unsanctioned,reg:Uninstall,No,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-05-31,45,No,2026-07-15,2026-07-15
WIN-DE-2061,yuki.kaur@contoso.com,Yuki Kaur,Sales,Account Executive,Munich Office,Munich,Germany,DE,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.19045.4046,2026-07-12,3,Yes,2026-07-11,2026-07-15
WIN-SE-2062,olivia.patel@contoso.com,Olivia Patel,HR,HR Partner,Stockholm Office,Stockholm,Sweden,SE,Enabled,ChatGPT Desktop,Chat client,Unsanctioned,appx,Yes,2,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-07-03,12,Yes,2026-07-10,2026-07-15
WIN-SE-2062,olivia.patel@contoso.com,Olivia Patel,HR,HR Partner,Stockholm Office,Stockholm,Sweden,SE,Enabled,Microsoft Copilot,Chat client,Sanctioned,process,No,2,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-07-03,12,Yes,2026-07-10,2026-07-15
WIN-FI-2063,ravi.jansen@contoso.com,Ravi Jansen,Sales,Account Executive,Helsinki HQ,Helsinki,Finland,FI,Enabled,Msty,Chat client,Unsanctioned,process,Yes,2,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-17,28,No,2026-07-06,2026-07-15
WIN-FI-2063,ravi.jansen@contoso.com,Ravi Jansen,Sales,Account Executive,Helsinki HQ,Helsinki,Finland,FI,Enabled,GPT4All,LLM runtime,Unsanctioned,process:ollama.exe,No,2,Yes,Scanned,detected,Windows,10.0.22000.2836,2026-06-17,28,No,2026-07-06,2026-07-15
WIN-ES-2064,ravi.patel@contoso.com,Ravi Patel,Finance,Financial Analyst,Madrid Office,Madrid,Spain,ES,Enabled,Msty,Chat client,Unsanctioned,process,Yes,1,Yes,Scanned,detected,Windows,10.0.19045.4046,2026-06-26,19,No,2026-07-11,2026-07-15
WIN-ES-2065,yuki.muller@contoso.com,Yuki Muller,Marketing,Marketing Manager,Madrid Office,Madrid,Spain,ES,Enabled,GitHub Copilot,Coding assistant,Sanctioned,vscode-ext,Yes,1,No,Scanned,detected,Windows,10.0.22000.2836,2026-07-08,7,Yes,2026-07-13,2026-07-15
WIN-IN-2066,sara.costa@contoso.com,Sara Costa,R&D,Research Engineer,Bengaluru Office,Bengaluru,India,IN,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.19045.4046,2026-06-17,28,No,2026-07-09,2026-07-15
WIN-IN-2067,arjun.muller@contoso.com,Arjun Muller,Sales,Account Executive,Pune DC,Pune,India,IN,Enabled,Perplexity,Browser AI,Unsanctioned,browser-ext,Yes,1,Yes,Scanned,detected,Windows,10.0.22631.3447,2026-06-25,20,No,2026-07-12,2026-07-15
WIN-US-2068,aino.silva@contoso.com,Aino Silva,IT,Systems Engineer,Austin Office,Austin,United States,US,Enabled,Microsoft Copilot,Chat client,Sanctioned,process,Yes,1,No,Scanned,detected,Windows,10.0.22621.3296,2026-06-21,24,No,2026-07-11,2026-07-15
WIN-IN-2069,lucas.berg@contoso.com,Lucas Berg,Finance,Financial Analyst,Bengaluru Office,Bengaluru,India,IN,Enabled,ChatGPT Desktop,Chat client,Unsanctioned,process,Yes,1,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-06-21,24,No,2026-07-09,2026-07-15
WIN-US-2070,aino.patel@contoso.com,Aino Patel,Engineering,Software Engineer,Austin Office,Austin,United States,US,Enabled,None,None,Sanctioned,,Yes,0,No,Scanned,clean,Windows,10.0.22000.2836,2026-06-08,37,No,2026-07-08,2026-07-15
WIN-IN-2071,yuki.wang@contoso.com,Yuki Wang,Operations,Ops Specialist,Bengaluru Office,Bengaluru,India,IN,Enabled,Msty,Chat client,Unsanctioned,reg:Uninstall,Yes,1,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-06,9,Yes,2026-07-13,2026-07-15
WIN-FI-2072,nina.andersson@contoso.com,Nina Andersson,R&D,Research Engineer,Helsinki HQ,Helsinki,Finland,FI,Disabled,Msty,Chat client,Unsanctioned,reg:Uninstall,Yes,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-01,14,Yes,2026-07-06,2026-07-15
WIN-FI-2072,nina.andersson@contoso.com,Nina Andersson,R&D,Research Engineer,Helsinki HQ,Helsinki,Finland,FI,Disabled,GPT4All,LLM runtime,Unsanctioned,dir:%LOCALAPPDATA%\Programs,No,2,Yes,Scanned,detected,Windows,10.0.22621.3296,2026-07-01,14,Yes,2026-07-06,2026-07-15
