DeviceName,Manufacturer,Model,ModelFriendlyName,WarrantyStartDate,WarrantyEndDate,WarrantyState,SerialNumber,OperatingSystem,OSVersion,UserName,Email,UserCity,UserCountry,UserOfficeLocation,ComplianceStatus,Encrypted,OwnerType,EnrollmentType,LastSync,DefenderState,DefenderRealTimeProtection,DefenderSignatureOverdue,DefenderTamperProtection,DefenderLastReported,SnapshotDate
WIN-CA-1012,Microsoft Corporation,Surface Laptop 5,N/A,N/A,N/A,N/A,61FKHMZ4,Windows,10.0.22631.3447,Emma Kaur,emma.kaur@contoso.com,Pune,India,Pune DC,Noncompliant,true,company,windowsAzureADJoin,2026-06-21T17:00:00Z,Active,true,false,false,2026-07-13T19:00:00Z,2026-07-15
WIN-FI-1013,Lenovo,21HD,ThinkPad X1 Carbon Gen 11,2023-01-02,2026-01-01,Expired,ZFBNUQBN,Windows,10.0.19045.4046,Lucas Korhonen,lucas.korhonen@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Compliant,true,personal,deviceEnrollmentManager,2026-06-26T12:00:00Z,Active,true,true,false,2026-07-05T14:00:00Z,2026-07-15
WIN-ES-1014,Microsoft Corporation,Surface Laptop 5,N/A,N/A,N/A,N/A,QG72PY0J,Windows,10.0.19045.3930,Ingrid Wang,ingrid.wang@contoso.com,Helsinki,Finland,Helsinki Office,Noncompliant,true,company,deviceEnrollmentManager,2026-07-05T06:00:00Z,Inactive,false,false,true,2026-07-05T15:00:00Z,2026-07-15
WIN-ES-1015,HP,HP EliteBook 840 G10,N/A,N/A,N/A,N/A,KXP9U7D8,Windows,10.0.22621.3296,Diego Jansen,diego.jansen@contoso.com,Helsinki,Finland,Helsinki HQ,Compliant,true,company,deviceEnrollmentManager,2026-07-05T20:00:00Z,Active,true,false,true,2026-07-06T19:00:00Z,2026-07-15
WIN-DE-1016,Dell Inc.,Latitude 5540,N/A,N/A,N/A,N/A,A7U01YNC,Windows,10.0.19045.4046,Marco Berg,marco.berg@contoso.com,Helsinki,Finland,Helsinki Office,Compliant,true,company,windowsAzureADJoin,2026-06-28T22:00:00Z,Inactive,false,false,false,2026-07-10T09:00:00Z,2026-07-15
WIN-CA-1017,Dell Inc.,Precision 3591,N/A,N/A,N/A,N/A,VP4LH2WL,Windows,10.0.19045.4046,Sara Smith,sara.smith@contoso.com,Pune,India,Pune DC,Compliant,true,company,deviceEnrollmentManager,2026-07-07T04:00:00Z,Active,true,false,true,2026-07-08T11:00:00Z,2026-07-15
WIN-US-1018,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,9W2R6V0P,Windows,10.0.22000.2836,Emma Nieminen,emma.nieminen@contoso.com,Munich,Germany,Munich Office,Compliant,true,company,windowsAzureADJoin,2026-07-05T08:00:00Z,Active,true,false,false,2026-07-12T10:00:00Z,2026-07-15
WIN-CA-1019,Lenovo,21HD,ThinkPad X1 Carbon Gen 11,2023-09-23,2026-09-22,Expiring soon,86W0T4U6,Windows,10.0.19045.4046,Priya Patel,priya.patel@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Compliant,true,personal,windowsAzureADJoin,2026-06-25T21:00:00Z,Active,true,false,true,2026-07-11T15:00:00Z,2026-07-15
WIN-FI-1020,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,FHQMRC4P,Windows,10.0.22631.3447,Diego Jansen,diego.jansen@contoso.com,Austin,United States,Austin Office,Compliant,false,company,appleBulkWithoutUser,2026-07-01T01:00:00Z,Active,true,false,true,2026-07-07T15:00:00Z,2026-07-15
WIN-FI-1021,Microsoft Corporation,Surface Pro 9,N/A,N/A,N/A,N/A,KSPY3047,Windows,10.0.22621.3296,Ingrid Smith,ingrid.smith@contoso.com,Helsinki,Finland,Helsinki HQ,Noncompliant,true,personal,windowsAutoEnrollment,2026-06-22T09:00:00Z,Active,true,false,true,2026-07-12T16:00:00Z,2026-07-15
WIN-FI-1022,Microsoft Corporation,Surface Laptop 5,N/A,N/A,N/A,N/A,JCAU9MY2,Windows,10.0.19045.4046,Noah Kaur,noah.kaur@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Compliant,true,company,windowsAutoEnrollment,2026-07-01T10:00:00Z,Active,true,false,true,2026-07-10T13:00:00Z,2026-07-15
WIN-US-1023,HP,HP EliteBook 840 G10,N/A,N/A,N/A,N/A,02FLV7V6,Windows,10.0.19045.3930,Marco Garcia,marco.garcia@contoso.com,Helsinki,Finland,Helsinki HQ,Compliant,true,company,deviceEnrollmentManager,2026-06-25T12:00:00Z,Active,true,false,true,2026-07-07T01:00:00Z,2026-07-15
WIN-ES-1024,Dell Inc.,Precision 3591,N/A,N/A,N/A,N/A,YAQSQN6R,Windows,10.0.19045.3930,Elin Jansen,elin.jansen@contoso.com,Helsinki,Finland,Helsinki Office,Compliant,true,company,windowsAzureADJoin,2026-06-21T05:00:00Z,Active,true,false,true,2026-07-09T15:00:00Z,2026-07-15
WIN-DE-1025,Dell Inc.,Precision 3591,N/A,N/A,N/A,N/A,R1VYMSMS,Windows,10.0.22000.2836,Marco Wang,marco.wang@contoso.com,Pune,India,Pune DC,Noncompliant,true,company,appleBulkWithoutUser,2026-07-01T14:00:00Z,Inactive,false,false,false,2026-07-05T15:00:00Z,2026-07-15
WIN-US-1026,HP,HP ProBook 450 G9,N/A,N/A,N/A,N/A,2DHZLVSU,Windows,10.0.22631.3447,Lucas Wang,lucas.wang@contoso.com,Toronto,Canada,Toronto Office,Compliant,true,company,windowsAutoEnrollment,2026-06-24T12:00:00Z,Active,true,false,true,2026-07-10T06:00:00Z,2026-07-15
MAC-SE-1027,Apple,"MacBookAir10,1",N/A,N/A,N/A,N/A,8ZG1KW1W,macOS,14.3.1,Lucas Smith,lucas.smith@contoso.com,Munich,Germany,Munich Office,Compliant,true,company,windowsAzureADJoin,2026-06-22T12:00:00Z,N/A,N/A,N/A,N/A,N/A,2026-07-15
WIN-SE-1028,Microsoft Corporation,Surface Pro 9,N/A,N/A,N/A,N/A,5VRQGB7S,Windows,10.0.19045.3930,Emma Smith,emma.smith@contoso.com,Bengaluru,India,Bengaluru Office,Compliant,true,company,windowsAzureADJoin,2026-06-21T18:00:00Z,Active,true,false,true,2026-07-13T22:00:00Z,2026-07-15
WIN-SE-1029,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,TRR59LXW,Windows,10.0.22000.2836,Noah Garcia,noah.garcia@contoso.com,Helsinki,Finland,Helsinki HQ,Noncompliant,true,company,deviceEnrollmentManager,2026-07-10T07:00:00Z,Active,true,false,true,2026-07-06T18:00:00Z,2026-07-15
MAC-NL-1030,Apple,"MacBookPro18,3",N/A,N/A,N/A,N/A,RWKH0ZRZ,macOS,13.6.4,Lucas Nieminen,lucas.nieminen@contoso.com,Madrid,Spain,Madrid Office,Compliant,true,company,windowsAzureADJoin,2026-06-27T22:00:00Z,N/A,N/A,N/A,N/A,N/A,2026-07-15
WIN-US-1031,HP,HP EliteBook 840 G10,N/A,N/A,N/A,N/A,QRLPKUQW,Windows,10.0.22621.3296,Ravi Jansen,ravi.jansen@contoso.com,Helsinki,Finland,Helsinki Office,Compliant,true,company,windowsAzureADJoin,2026-07-12T19:00:00Z,Active,true,false,true,2026-07-11T23:00:00Z,2026-07-15
WIN-SE-1032,HP,HP ProBook 450 G9,N/A,N/A,N/A,N/A,K9Q38RPL,Windows,10.0.19045.4046,Priya Ivanov,priya.ivanov@contoso.com,Helsinki,Finland,Helsinki Office,Compliant,false,company,appleBulkWithoutUser,2026-06-20T18:00:00Z,Active,true,false,true,2026-07-05T06:00:00Z,2026-07-15
WIN-IN-1033,Microsoft Corporation,Surface Pro 9,N/A,N/A,N/A,N/A,YUQGN1X1,Windows,10.0.22621.3296,Olivia Lehto,olivia.lehto@contoso.com,Munich,Germany,Munich Office,Noncompliant,true,company,appleBulkWithoutUser,2026-07-04T14:00:00Z,Active,true,false,true,2026-07-15T00:00:00Z,2026-07-15
WIN-CA-1034,Lenovo,21CB,ThinkPad T14 Gen 3,2023-01-15,2026-01-14,Expired,D8YF7KZQ,Windows,10.0.22631.3447,Diego Andersson,diego.andersson@contoso.com,Munich,Germany,Munich Office,Not evaluated,true,company,deviceEnrollmentManager,2026-07-02T02:00:00Z,Active,true,false,true,2026-07-05T07:00:00Z,2026-07-15
MAC-CA-1035,Apple,"MacBookPro18,3",N/A,N/A,N/A,N/A,K2Q7T3KL,macOS,14.3.1,Noah Lehto,noah.lehto@contoso.com,Austin,United States,Austin Office,Compliant,true,company,deviceEnrollmentManager,2026-07-12T09:00:00Z,N/A,N/A,N/A,N/A,N/A,2026-07-15
WIN-ES-1036,Microsoft Corporation,Surface Pro 9,N/A,N/A,N/A,N/A,5PLS7N92,Windows,10.0.22000.2836,Ingrid Rossi,ingrid.rossi@contoso.com,Munich,Germany,Munich Office,Compliant,true,company,appleBulkWithoutUser,2026-07-07T07:00:00Z,N/A,N/A,false,true,N/A,2026-07-15
WIN-DE-1037,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,2KXPCMYU,Windows,10.0.19045.3930,Elin Rossi,elin.rossi@contoso.com,Austin,United States,Austin Office,Noncompliant,true,company,windowsAutoEnrollment,2026-07-14T17:00:00Z,Active,true,false,true,2026-07-10T00:00:00Z,2026-07-15
WIN-US-1038,Dell Inc.,Latitude 5540,N/A,N/A,N/A,N/A,FLAMBNQJ,Windows,10.0.22000.2836,Marco Nieminen,marco.nieminen@contoso.com,Helsinki,Finland,Helsinki HQ,Compliant,true,company,deviceEnrollmentManager,2026-07-11T12:00:00Z,Active,true,false,true,2026-07-10T07:00:00Z,2026-07-15
WIN-NL-1039,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,RKUC89L8,Windows,10.0.19045.3930,Liam Costa,liam.costa@contoso.com,Stockholm,Sweden,Stockholm Office,Noncompliant,true,company,deviceEnrollmentManager,2026-07-05T11:00:00Z,Active,true,false,false,2026-07-06T11:00:00Z,2026-07-15
WIN-IN-1040,Dell Inc.,Latitude 5540,N/A,N/A,N/A,N/A,VZ1BWS6K,Windows,10.0.19045.3930,Diego Andersson,diego.andersson@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Compliant,true,company,appleBulkWithoutUser,2026-07-14T10:00:00Z,N/A,N/A,false,true,N/A,2026-07-15
WIN-DE-1041,Dell Inc.,Latitude 5540,N/A,N/A,N/A,N/A,BNE6MQG2,Windows,10.0.19045.3930,Marco Muller,marco.muller@contoso.com,Madrid,Spain,Madrid Office,Compliant,true,company,deviceEnrollmentManager,2026-07-11T05:00:00Z,Inactive,false,false,true,2026-07-10T08:00:00Z,2026-07-15
WIN-NL-1042,Dell Inc.,Latitude 5540,N/A,N/A,N/A,N/A,83N2AURY,Windows,10.0.19045.3930,Diego Smith,diego.smith@contoso.com,Pune,India,Pune DC,Noncompliant,true,company,windowsAzureADJoin,2026-07-09T08:00:00Z,Active,true,false,true,2026-07-10T19:00:00Z,2026-07-15
WIN-US-1043,Dell Inc.,Precision 3591,N/A,N/A,N/A,N/A,E8LSD6ER,Windows,10.0.22631.3447,Priya Silva,priya.silva@contoso.com,Helsinki,Finland,Helsinki Office,Compliant,true,company,deviceEnrollmentManager,2026-07-12T16:00:00Z,Active,true,false,true,2026-07-13T19:00:00Z,2026-07-15
WIN-SE-1044,Dell Inc.,Precision 3591,N/A,N/A,N/A,N/A,N6XCK884,Windows,10.0.19045.3930,Sofia Silva,sofia.silva@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Compliant,true,company,appleBulkWithoutUser,2026-07-06T02:00:00Z,Active,true,false,false,2026-07-07T17:00:00Z,2026-07-15
WIN-ES-1045,HP,HP EliteBook 840 G10,N/A,N/A,N/A,N/A,WK99U3D5,Windows,10.0.19045.4046,Priya Garcia,priya.garcia@contoso.com,Bengaluru,India,Bengaluru Office,Noncompliant,true,company,deviceEnrollmentManager,2026-06-20T08:00:00Z,Active,true,false,false,2026-07-05T10:00:00Z,2026-07-15
WIN-CA-1046,Lenovo,21CB,ThinkPad T14 Gen 3,2023-05-16,2026-05-15,Expired,8B25TR8C,Windows,10.0.22000.2836,Aino Patel,aino.patel@contoso.com,Bengaluru,India,Bengaluru Office,Compliant,true,company,windowsAzureADJoin,2026-06-25T01:00:00Z,Active,true,false,true,2026-07-12T16:00:00Z,2026-07-15
WIN-IN-1047,Microsoft Corporation,Surface Pro 9,N/A,N/A,N/A,N/A,URWDZ4Y2,Windows,10.0.19045.4046,Nina Nieminen,nina.nieminen@contoso.com,Munich,Germany,Munich Office,Noncompliant,true,company,deviceEnrollmentManager,2026-07-03T15:00:00Z,Active,true,false,true,2026-07-08T16:00:00Z,2026-07-15
WIN-DE-1048,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,DCQ1NEC8,Windows,10.0.22621.3296,Nina Lehto,nina.lehto@contoso.com,Bengaluru,India,Bengaluru Office,Compliant,false,company,appleBulkWithoutUser,2026-06-29T09:00:00Z,N/A,N/A,false,true,N/A,2026-07-15
WIN-FI-1049,HP,HP ProBook 450 G9,N/A,N/A,N/A,N/A,DKHQV2XY,Windows,10.0.22631.3447,Eero Smith,eero.smith@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Compliant,true,company,deviceEnrollmentManager,2026-07-08T18:00:00Z,Active,true,false,true,2026-07-11T02:00:00Z,2026-07-15
WIN-DE-1050,Dell Inc.,Precision 3591,N/A,N/A,N/A,N/A,19DUNRFL,Windows,10.0.22631.3447,Emma Muller,emma.muller@contoso.com,Helsinki,Finland,Helsinki HQ,Compliant,true,company,windowsAzureADJoin,2026-07-07T15:00:00Z,Inactive,false,false,true,2026-07-13T12:00:00Z,2026-07-15
WIN-FI-1051,HP,HP EliteBook 840 G10,N/A,N/A,N/A,N/A,QKZSYBPW,Windows,10.0.19045.4046,Emma Costa,emma.costa@contoso.com,Stockholm,Sweden,Stockholm Office,Compliant,false,company,windowsAutoEnrollment,2026-06-24T15:00:00Z,Active,true,false,true,2026-07-11T08:00:00Z,2026-07-15
WIN-US-1052,Lenovo,21CB,ThinkPad T14 Gen 3,2023-03-03,2026-03-02,Expired,P1QRCLQP,Windows,10.0.19045.3930,Olivia Rossi,olivia.rossi@contoso.com,Pune,India,Pune DC,Compliant,true,company,windowsAutoEnrollment,2026-06-22T15:00:00Z,Active,true,false,true,2026-07-14T06:00:00Z,2026-07-15
WIN-ES-1053,Lenovo,21JK,ThinkPad P16v,2023-08-24,2026-08-23,Expiring soon,MMFTDT6M,Windows,10.0.19045.4046,Emma Costa,emma.costa@contoso.com,Bengaluru,India,Bengaluru Office,Noncompliant,true,company,windowsAzureADJoin,2026-07-04T23:00:00Z,Active,true,true,true,2026-07-07T02:00:00Z,2026-07-15
WIN-NL-1054,Lenovo,21CB,ThinkPad T14 Gen 3,2023-03-20,2026-03-19,Expired,X9L9LQRX,Windows,10.0.22631.3447,Emma Costa,emma.costa@contoso.com,Madrid,Spain,Madrid Office,Noncompliant,true,company,windowsAutoEnrollment,2026-06-25T13:00:00Z,Active,true,false,true,2026-07-09T00:00:00Z,2026-07-15
WIN-CA-1055,Dell Inc.,Latitude 5540,N/A,N/A,N/A,N/A,1B6VGWT8,Windows,10.0.22000.2836,Olivia Kaur,olivia.kaur@contoso.com,Helsinki,Finland,Helsinki Office,Compliant,false,company,windowsAzureADJoin,2026-07-11T12:00:00Z,Active,true,false,true,2026-07-06T14:00:00Z,2026-07-15
WIN-ES-1056,Lenovo,20XW,ThinkPad L15,2023-05-07,2026-05-06,Expired,BXMMUPJ4,Windows,10.0.19045.4046,Emma Korhonen,emma.korhonen@contoso.com,Austin,United States,Austin Office,Compliant,true,company,deviceEnrollmentManager,2026-06-29T20:00:00Z,Active,true,false,true,2026-07-08T15:00:00Z,2026-07-15
WIN-SE-1057,Lenovo,21CB,ThinkPad T14 Gen 3,2023-02-13,2026-02-12,Expired,GH8SHEC4,Windows,10.0.22631.3447,Yuki Garcia,yuki.garcia@contoso.com,Pune,India,Pune DC,Compliant,true,company,deviceEnrollmentManager,2026-06-22T21:00:00Z,Active,true,false,false,2026-07-11T17:00:00Z,2026-07-15
WIN-DE-1058,Dell Inc.,Precision 3591,N/A,N/A,N/A,N/A,K1RUL3R4,Windows,10.0.22000.2836,Mateo Costa,mateo.costa@contoso.com,Helsinki,Finland,Helsinki HQ,Compliant,true,company,deviceEnrollmentManager,2026-06-26T16:00:00Z,Active,true,false,true,2026-07-08T12:00:00Z,2026-07-15
WIN-IN-1059,HP,HP ProBook 450 G9,N/A,N/A,N/A,N/A,44K1K6FQ,Windows,10.0.22621.3296,Yuki Dubois,yuki.dubois@contoso.com,Pune,India,Pune DC,Compliant,true,company,deviceEnrollmentManager,2026-07-04T16:00:00Z,Active,true,false,true,2026-07-07T10:00:00Z,2026-07-15
WIN-SE-1060,Microsoft Corporation,Surface Pro 9,N/A,N/A,N/A,N/A,EB7S41RW,Windows,10.0.19045.4046,Eero Lehto,eero.lehto@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Compliant,true,personal,appleBulkWithoutUser,2026-07-05T19:00:00Z,Active,true,false,true,2026-07-06T14:00:00Z,2026-07-15
WIN-US-1061,Lenovo,21CB,ThinkPad T14 Gen 3,2023-08-05,2026-08-04,Expiring soon,SUXV0KAM,Windows,10.0.19045.3930,Marco Dubois,marco.dubois@contoso.com,Austin,United States,Austin Office,Compliant,true,company,windowsAzureADJoin,2026-07-05T04:00:00Z,Active,true,false,false,2026-07-05T09:00:00Z,2026-07-15
WIN-DE-1062,Lenovo,21HD,ThinkPad X1 Carbon Gen 11,2023-10-06,2026-10-05,Expiring soon,2M0X20MB,Windows,10.0.22000.2836,Liam Dubois,liam.dubois@contoso.com,Bengaluru,India,Bengaluru Office,Compliant,true,company,windowsAutoEnrollment,2026-06-25T07:00:00Z,Active,true,false,true,2026-07-11T05:00:00Z,2026-07-15
WIN-DE-1063,Microsoft Corporation,Surface Laptop 5,N/A,N/A,N/A,N/A,P3SBXK5B,Windows,10.0.22621.3296,Emma Garcia,emma.garcia@contoso.com,Munich,Germany,Munich Office,Compliant,true,company,appleBulkWithoutUser,2026-07-06T18:00:00Z,Active,true,true,true,2026-07-09T13:00:00Z,2026-07-15
WIN-CA-1064,Lenovo,20XW,ThinkPad L15,2023-06-23,2026-06-22,Expired,KDMLR0FR,Windows,10.0.22621.3296,Nina Lehto,nina.lehto@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Not evaluated,true,company,appleBulkWithoutUser,2026-07-11T20:00:00Z,Active,false,false,true,2026-07-09T05:00:00Z,2026-07-15
WIN-CA-1065,Lenovo,20XW,ThinkPad L15,2023-02-08,2026-02-07,Expired,JXN8BFRN,Windows,10.0.22000.2836,Lucas Korhonen,lucas.korhonen@contoso.com,Amsterdam,Netherlands,Amsterdam Hub,Compliant,true,company,deviceEnrollmentManager,2026-07-14T01:00:00Z,Active,true,false,false,2026-07-14T07:00:00Z,2026-07-15
WIN-CA-1066,HP,HP EliteBook 840 G10,N/A,N/A,N/A,N/A,R9K7SE4R,Windows,10.0.22000.2836,Yuki Rossi,yuki.rossi@contoso.com,Bengaluru,India,Bengaluru Office,Compliant,true,company,deviceEnrollmentManager,2026-06-24T01:00:00Z,Active,true,false,true,2026-07-07T12:00:00Z,2026-07-15
MAC-ES-1067,Apple,"MacBookAir10,1",N/A,N/A,N/A,N/A,TEGE2AUN,macOS,13.6.4,Liam Wang,liam.wang@contoso.com,Bengaluru,India,Bengaluru Office,Compliant,true,company,deviceEnrollmentManager,2026-06-29T22:00:00Z,N/A,N/A,N/A,N/A,N/A,2026-07-15
WIN-FI-1068,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,ZM52XG8Q,Windows,10.0.19045.4046,Yuki Silva,yuki.silva@contoso.com,Pune,India,Pune DC,Compliant,true,company,windowsAzureADJoin,2026-07-10T00:00:00Z,N/A,N/A,false,true,N/A,2026-07-15
WIN-DE-1069,Microsoft Corporation,Surface Laptop 5,N/A,N/A,N/A,N/A,WDXWVFX6,Windows,10.0.22631.3447,Emma Rossi,emma.rossi@contoso.com,Stockholm,Sweden,Stockholm Office,In grace period,true,personal,appleBulkWithoutUser,2026-07-12T00:00:00Z,Active,true,false,false,2026-07-11T19:00:00Z,2026-07-15
WIN-IN-1070,Microsoft Corporation,Surface Laptop 5,N/A,N/A,N/A,N/A,S3ZLCCQS,Windows,10.0.19045.4046,Eero Ivanov,eero.ivanov@contoso.com,Helsinki,Finland,Helsinki Office,Compliant,true,company,windowsAzureADJoin,2026-06-24T03:00:00Z,Inactive,false,false,true,2026-07-11T19:00:00Z,2026-07-15
WIN-ES-1071,Lenovo,21CB,ThinkPad T14 Gen 3,2023-03-08,2026-03-07,Expired,5Q86370G,Windows,10.0.22631.3447,Ingrid Lehto,ingrid.lehto@contoso.com,Bengaluru,India,Bengaluru Office,Noncompliant,true,company,deviceEnrollmentManager,2026-06-25T11:00:00Z,Active,true,false,false,2026-07-10T22:00:00Z,2026-07-15
WIN-DE-1072,Dell Inc.,Precision 3591,N/A,N/A,N/A,N/A,YRU4Q601,Windows,10.0.22621.3296,Olivia Silva,olivia.silva@contoso.com,Munich,Germany,Munich Office,Compliant,true,company,deviceEnrollmentManager,2026-07-06T04:00:00Z,Active,false,false,true,2026-07-06T01:00:00Z,2026-07-15
WIN-CA-1073,Lenovo,21HD,ThinkPad X1 Carbon Gen 11,2023-10-11,2026-10-10,Expiring soon,71GTTBEM,Windows,10.0.22000.2836,Arjun Novak,arjun.novak@contoso.com,Austin,United States,Austin Office,Compliant,true,company,appleBulkWithoutUser,2026-07-10T07:00:00Z,Active,true,false,true,2026-07-09T02:00:00Z,2026-07-15
WIN-FI-1074,Dell Inc.,Latitude 7440,N/A,N/A,N/A,N/A,3NY9V30Z,Windows,10.0.22000.2836,Noah Rossi,noah.rossi@contoso.com,Austin,United States,Austin Office,In grace period,true,company,appleBulkWithoutUser,2026-07-01T00:00:00Z,Active,true,false,true,2026-07-09T23:00:00Z,2026-07-15
WIN-FI-1075,Dell Inc.,Latitude 5540,N/A,N/A,N/A,N/A,DALFZP27,Windows,10.0.22000.2836,Priya Korhonen,priya.korhonen@contoso.com,Toronto,Canada,Toronto Office,Compliant,true,company,windowsAutoEnrollment,2026-07-09T01:00:00Z,Inactive,false,false,true,2026-07-07T13:00:00Z,2026-07-15
WIN-IN-1076,HP,HP EliteBook 840 G10,N/A,N/A,N/A,N/A,JS8KL892,Windows,10.0.22000.2836,Diego Dubois,diego.dubois@contoso.com,Bengaluru,India,Bengaluru Office,Compliant,true,company,appleBulkWithoutUser,2026-06-22T01:00:00Z,Active,true,false,true,2026-07-07T15:00:00Z,2026-07-15
WIN-IN-1077,HP,HP ProBook 450 G9,N/A,N/A,N/A,N/A,3KK0MRJS,Windows,10.0.22631.3447,Ingrid Wang,ingrid.wang@contoso.com,Munich,Germany,Munich Office,In grace period,true,company,windowsAzureADJoin,2026-06-20T21:00:00Z,Active,true,false,true,2026-07-06T19:00:00Z,2026-07-15
WIN-NL-1078,Microsoft Corporation,Surface Pro 9,N/A,N/A,N/A,N/A,E89FY5SY,Windows,10.0.22000.2836,Noah Andersson,noah.andersson@contoso.com,Pune,India,Pune DC,Compliant,true,company,deviceEnrollmentManager,2026-07-05T10:00:00Z,Active,true,false,false,2026-07-06T19:00:00Z,2026-07-15
